Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,65,Female,T-shirt,Clothing,77,New York,S,Cream,Spring,3.7,Yes,Two-Day Shipping,No,Yes,1,Credit Card,Weekly
2,53,Male,Sneakers,Footwear,122,New York,L,Teal,Fall,4.2,Yes,Express,No,No,17,Debit Card,Weekly
3,23,Female,Belt,Accessories,39,Georgia,M,Teal,Fall,4.2,No,Two-Day Shipping,Yes,No,5,Google Pay,Bi-Weekly
4,63,Male,Scarf,Accessories,26,Nevada,S,Olive,Spring,4.4,Yes,Next Day Air,No,No,40,Bank Transfer,Bi-Weekly
5,40,Male,Oxfords,Footwear,83,Oregon,XXL,Orange,Spring,3.4,Yes,Two-Day Shipping,Yes,Yes,29,Apple Pay,Bi-Weekly
6,67,Male,Oxfords,Footwear,73,Washington,XS,Beige,Winter,2.1,Yes,Two-Day Shipping,No,Yes,41,Apple Pay,Monthly
7,34,Male,Windbreaker,Outerwear,78,Oregon,XL,Purple,Fall,4,No,Two-Day Shipping,No,No,14,Debit Card,Quarterly
8,66,Male,Raincoat,Outerwear,43,Florida,XXL,Navy,Winter,3.4,No,Next Day Air,No,No,35,Bank Transfer,Daily
9,66,Female,Leggings,Clothing,102,California,M,Pink,Summer,2.8,No,Two-Day Shipping,Yes,Yes,55,Cash,Bi-Weekly
10,41,Male,Loafers,Footwear,150,Tennessee,XS,Teal,Fall,3,Yes,Free Shipping,No,Yes,3,Debit Card,Quarterly
11,64,Female,Jacket,Clothing,32,Virginia,XL,Navy,Summer,3.6,Yes,Free Shipping,No,Yes,59,Google Pay,Annually
12,43,Female,Flip Flops,Footwear,127,Tennessee,XL,Yellow,Spring,2,Yes,Free Shipping,Yes,Yes,37,Debit Card,Daily
13,32,Male,T-shirt,Clothing,23,Washington,M,White,Summer,2.1,No,Express,Yes,No,15,Bank Transfer,Monthly
14,24,Male,Windbreaker,Outerwear,125,Georgia,L,Pink,Winter,4.5,Yes,Store Pickup,Yes,Yes,25,Cash,Bi-Weekly
15,30,Male,Hoodie,Clothing,129,Florida,L,Navy,Fall,2.9,Yes,Next Day Air,Yes,Yes,41,Google Pay,Daily
16,28,Female,Hoodie,Clothing,139,Arizona,S,Pink,Spring,1.7,Yes,Next Day Air,No,No,18,Apple Pay,Annually
17,30,Female,Windbreaker,Outerwear,70,Texas,XL,Cream,Spring,4,Yes,Standard,No,Yes,3,Google Pay,Daily
18,56,Male,Boots,Footwear,75,Illinois,XS,Teal,Summer,3.3,Yes,Two-Day Shipping,Yes,No,42,Google Pay,Quarterly
19,31,Female,Hat,Accessories,76,Ohio,L,Navy,Fall,2.8,Yes,Standard,No,Yes,4,Google Pay,Weekly
20,40,Male,Sunglasses,Accessories,77,Georgia,M,Navy,Winter,4.3,No,Two-Day Shipping,Yes,No,59,Cash,Daily
21,25,Male,Flip Flops,Footwear,54,Ohio,M,Teal,Summer,3.9,Yes,Store Pickup,No,No,16,Bank Transfer,Daily
22,35,Male,Coat,Clothing,15,Georgia,S,Orange,Fall,1.6,No,Two-Day Shipping,No,Yes,7,Credit Card,Annually
23,41,Male,Sneakers,Footwear,125,Florida,XS,Olive,Fall,4.6,Yes,Free Shipping,Yes,Yes,42,Credit Card,Bi-Weekly
24,65,Male,Puffer Jacket,Outerwear,75,Washington,S,Navy,Winter,1.1,No,Next Day Air,Yes,No,10,Bank Transfer,Annually
25,20,Female,Coat,Clothing,71,New York,L,Beige,Fall,4.3,Yes,Express,Yes,Yes,25,PayPal,Bi-Weekly
26,40,Female,Shorts,Clothing,99,Texas,XS,Olive,Summer,3.3,No,Standard,Yes,No,22,Cash,Bi-Weekly
27,50,Male,Puffer Jacket,Outerwear,113,Tennessee,XL,Red,Fall,1.2,No,Standard,Yes,No,27,Credit Card,Annually
28,60,Male,Necklace,Accessories,91,Michigan,M,Orange,Winter,2.3,No,Two-Day Shipping,Yes,Yes,26,Cash,Monthly
29,43,Male,Flip Flops,Footwear,92,Ohio,S,Pink,Fall,2.9,No,Store Pickup,Yes,No,50,Bank Transfer,Annually
30,36,Female,Boots,Footwear,38,Washington,S,Orange,Fall,1.9,Yes,Express,Yes,Yes,15,Apple Pay,Quarterly
31,44,Male,Cardigan,Clothing,113,Arizona,L,Red,Summer,3.6,Yes,Standard,No,Yes,11,Bank Transfer,Annually
32,53,Male,Raincoat,Outerwear,46,Arizona,S,Yellow,Fall,4.8,No,Two-Day Shipping,No,No,57,Debit Card,Annually
33,34,Male,Parka,Outerwear,85,Virginia,XL,Yellow,Summer,2.1,Yes,Store Pickup,No,Yes,17,PayPal,Bi-Weekly
34,27,Male,Dress,Clothing,113,Oregon,S,Cream,Summer,1.3,No,Free Shipping,No,No,3,Debit Card,Monthly
35,62,Male,Puffer Jacket,Outerwear,112,Arizona,XS,Beige,Fall,4,No,Two-Day Shipping,Yes,No,14,PayPal,Monthly
36,42,Female,Raincoat,Outerwear,118,Oregon,S,Yellow,Summer,4.9,Yes,Next Day Air,Yes,Yes,41,Apple Pay,Weekly
37,21,Female,Windbreaker,Outerwear,112,Georgia,S,Yellow,Fall,2.4,No,Free Shipping,No,No,53,Credit Card,Monthly
38,21,Female,Leggings,Clothing,72,Nevada,XS,Orange,Spring,4,Yes,Express,Yes,Yes,15,Debit Card,Monthly
39,31,Female,Vest,Clothing,80,Virginia,M,Navy,Spring,4.1,Yes,Free Shipping,Yes,Yes,59,PayPal,Quarterly
40,63,Male,Parka,Outerwear,34,Colorado,XXL,Orange,Summer,1.4,No,Store Pickup,Yes,Yes,22,Google Pay,Monthly
41,50,Female,Belt,Accessories,18,Washington,L,Yellow,Spring,2.7,No,Store Pickup,No,Yes,27,Debit Card,Annually
42,47,Female,Earrings,Accessories,83,Georgia,S,White,Fall,4.5,Yes,Next Day Air,No,No,1,Apple Pay,Bi-Weekly
43,31,Female,Slip-ons,Footwear,81,Georgia,M,Teal,Fall,3.2,Yes,Standard,Yes,No,31,Google Pay,Weekly
44,46,Male,Parka,Outerwear,38,Ohio,S,Pink,Summer,2.2,No,Next Day Air,No,No,47,Google Pay,Bi-Weekly
45,35,Female,Earrings,Accessories,79,New York,XS,Cream,Summer,2.3,Yes,Express,Yes,No,17,Cash,Quarterly
46,30,Female,Belt,Accessories,73,Georgia,S,Olive,Spring,3.8,Yes,Free Shipping,Yes,Yes,35,PayPal,Annually
47,24,Male,Slip-ons,Footwear,87,Arizona,L,Yellow,Fall,1.7,Yes,Free Shipping,No,Yes,52,Credit Card,Monthly
48,54,Male,Raincoat,Outerwear,53,Florida,XL,Olive,Spring,5,Yes,Two-Day Shipping,No,Yes,49,Google Pay,Monthly
49,37,Female,Parka,Outerwear,93,Colorado,XL,Black,Spring,4.8,Yes,Store Pickup,Yes,No,42,Credit Card,Weekly
50,53,Male,Loafers,Footwear,55,Texas,L,Yellow,Winter,2.2,Yes,Free Shipping,No,No,4,Cash,Weekly
51,45,Male,Scarf,Accessories,72,Nevada,S,Olive,Summer,1.3,Yes,Free Shipping,No,No,7,Apple Pay,Annually
52,35,Female,Bracelet,Accessories,127,California,XL,Black,Winter,3.9,No,Standard,Yes,Yes,43,Bank Transfer,Quarterly
53,54,Male,Shorts,Clothing,59,Arizona,XL,Orange,Winter,4.7,Yes,Two-Day Shipping,No,No,5,Apple Pay,Bi-Weekly
54,38,Male,Trench Coat,Outerwear,56,Georgia,L,Cream,Winter,2.2,No,Two-Day Shipping,Yes,No,5,PayPal,Bi-Weekly
55,67,Female,Belt,Accessories,146,Washington,XS,Orange,Winter,2.7,Yes,Two-Day Shipping,No,No,40,Apple Pay,Daily
56,53,Male,Flip Flops,Footwear,88,Arizona,XXL,Yellow,Spring,1.1,Yes,Store Pickup,Yes,No,35,Credit Card,Quarterly
57,32,Male,Raincoat,Outerwear,133,California,XXL,Navy,Winter,4.7,No,Two-Day Shipping,No,No,53,Apple Pay,Monthly
58,53,Male,Slip-ons,Footwear,113,New York,XL,Purple,Summer,4.5,No,Next Day Air,No,No,52,Credit Card,Bi-Weekly
